time,temperature_2m,relativehumidity_2m
2025-11-17 00:00:00,-0.3,68
2025-11-17 01:00:00,-0.4,83
2025-11-17 02:00:00,-0.1,77
2025-11-17 03:00:00,-0.4,81
2025-11-17 04:00:00,-0.4,83
2025-11-17 05:00:00,-0.2,68
2025-11-17 06:00:00,-0.2,71
2025-11-17 07:00:00,0.1,61
2025-11-17 08:00:00,0.2,61
2025-11-17 09:00:00,1.5,58
2025-11-17 10:00:00,3.3,52
2025-11-17 11:00:00,4.1,48
2025-11-17 12:00:00,4.8,39
2025-11-17 13:00:00,4.6,44
2025-11-17 14:00:00,4.2,45
2025-11-17 15:00:00,3.8,47
2025-11-17 16:00:00,3.0,49
2025-11-17 17:00:00,2.0,52
2025-11-17 18:00:00,1.5,54
2025-11-17 19:00:00,0.4,58
2025-11-17 20:00:00,0.7,60
2025-11-17 21:00:00,0.1,63
2025-11-17 22:00:00,-0.2,71
2025-11-17 23:00:00,0.3,75
